Tên phim,ID phim,Đạo diễn,Diễn viên chính,Thể loại phim,Thời lượng (phút),Độ phổ biến,Năm phát hành,Link Poster,Link Backdrop,Điểm đánh giá,Mô tả
Điệp Viên xXx,7451,Rob Cohen,"Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson, Michael Roof","Phim Hành Động, Phim Phiêu Lưu, Phim Gây Cấn, Phim Hình Sự, Phim Chính Kịch",124,140.7226,2002,https://image.tmdb.org/t/p/w500/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,https://image.tmdb.org/t/p/original/2OHa6ukEq3Hce7Pc2kvu8wkmMFY.jpg,5.975,"Xander xXx Cage vốn nổi tiếng là một người say mê các trò mạo hiểm chết người và cho đến nay vẫn chưa từng bị luật pháp sờ gáy. Nhưng nhân viên tình báo Augustus Gibbons đã buộc xXx cộng tác với chính phủ bằng cách xâm nhập vào một tổ chức tội phạm của Nga. Nhiệm vụ của anh là thu thập thông tin về âm mưu tàn phá trái đất của nhóm phi chính phủ do Yorgi cầm đầu, đổi lại xXx sẽ không phải chôn chân trong nhà đá. Ông tìm cách đưa xXx lọt vào thế giới ngầm của bọn tội phạm mà không bị chúng phát giác. Với lòng dũng cảm và tài năng, anh phải vượt qua một đối thủ “khó nhằn” hơn bất kỳ thử thách nào anh từng đối mặt..."
Điện Thoại Đen 2,1197137,Scott Derrickson,"Ethan Hawke, Mason Thames, Madeleine McGraw, Demián Bichir, Miguel Mora","Phim Kinh Dị, Phim Gây Cấn",114,159.7254,2025,https://image.tmdb.org/t/p/w500/6TkmCylovIEHbZF9jLiUhdeM9BF.jpg,https://image.tmdb.org/t/p/original/6zKjoOOb3OZnZuiHtQZn4Kd69Gq.jpg,6.87,"Bốn năm trước, Finn khi mới 13 tuổi đã giết chết kẻ bắt cóc mình và trốn thoát thành công, trở thành người duy nhất sống sót sau vụ án của The Grabber - một kẻ sát nhân khét tiếng. Nhưng cái ác thực sự không chết đi… và chiếc điện thoại đen lại một lần nữa đổ chuông. Khi Finn nay đã 17 tuổi và vẫn vật lộn với hậu chấn tâm lý sau vụ bắt cóc, còn cô em gái 15 tuổi Gwen bắt đầu nhận được các cuộc gọi trong giấc mơ từ chiếc điện thoại đen kỳ lạ, cùng với những hình ảnh rùng rợn. Quyết tâm khám phá sự thật và chấm dứt cơn ác mộng cho cả bản thân lẫn anh trai, Gwen thuyết phục Finn cùng đến trại trong lúc có bão tuyết. Tại đây, cô phát hiện ra một bí mật kinh hoàng liên quan đến The Grabber và cả quá khứ của gia đình mình. Giờ đây, 2 anh em buộc phải đối đầu với một kẻ sát nhân không chỉ mạnh mẽ hơn sau khi chết, mà còn có mối liên hệ sâu sắc với họ hơn những gì họ từng tưởng tượng."
Tee Yai: Tính bản ác,1429738,Nonzee Nimibutr,"ณัฐวิญญ์ วัฒนกิติพัฒน์, วิศรุต หิมรัตน์, สุภัสสรา ธนชาต, ศดานนท์ ดุรงคเวโรจน์, องอาจ เจียมเจริญพรกุล","Phim Hình Sự, Phim Hành Động, Phim Chính Kịch",117,131.0532,2025,https://image.tmdb.org/t/p/w500/vqYZMLUwaN1z1iJ4TKvExyxo1TX.jpg,https://image.tmdb.org/t/p/original/xmnqFHhGNYHf5JFy4GSfiIEG0ly.jpg,4.814,"Những năm 1980 ở Bangkok, một tên trộm xảo quyệt thực hiện hàng loạt vụ trộm táo bạo, khiến chính quyền và công chúng hoang mang – cho đến khi một cảnh sát quyết tâm hạ bệ hắn."
First Moon,1468417,Peter McLeod,"Lauren Esposito, Julian Curtis, Shannon Ryan, Soren Jensen, Mitchell Slater","Phim Kinh Dị, Phim Gây Cấn",97,129.8949,2025,https://image.tmdb.org/t/p/w500/hcjYvv4k9qs0lDG1Q3GIglT30IW.jpg,https://image.tmdb.org/t/p/original/7h0qCqkuQzmG5vXN3lGBc06reLd.jpg,4.116,
Phi Vụ Động Trời 2,1084242,Jared Bush,"Ginnifer Goodwin, Jason Bateman, Quan Kế Huy, Fortune Feimster, Andy Samberg","Phim Hoạt Hình, Phim Gia Đình, Phim Hài, Phim Phiêu Lưu, Phim Bí Ẩn",107,120.2332,2025,https://image.tmdb.org/t/p/w500/5wXpOF9WPUKliIzNBdAqwAStLHU.jpg,https://image.tmdb.org/t/p/original/zdva2LmrzZ0OdTI27ayzKPw0wkF.jpg,7.0,
Đảo Quái Vật,1214140,Mike Wiluan,"ディーン・フジオカ, Callum Woodhouse, Alan Maxson, Kazushi Kato, Teruhiko Kameoka","Phim Kinh Dị, Phim Giả Tượng, Phim Hành Động, Phim Gây Cấn",83,106.8176,2025,https://image.tmdb.org/t/p/w500/x1JOs4xWNr1QYjDAXHxWw1NJ7Sq.jpg,https://image.tmdb.org/t/p/original/fxKC10HQliVA3Tn5smOclqzL96N.jpg,5.716,"Năm 1942, một người lính Nhật và một tù binh chiến tranh người Anh bị kẹt trong cuộc chiến sinh tồn chống lại một sinh vật chết chóc đang săn lùng máu."
大雨,1026821,不思凡,"陈浩, Xingliner","Phim Hoạt Hình, Phim Giả Tượng, Phim Hành Động, Phim Phiêu Lưu",102,132.2075,2024,https://image.tmdb.org/t/p/w500/3CsivmtcjwMUvU0Mu7zZgnK9QaR.jpg,https://image.tmdb.org/t/p/original/qWRTIqDzxyOC6ndumxOngDMAHxl.jpg,6.182,
Shelby Oaks,937941,Chris Stuckmann,"Camille Sullivan, Sarah Durn, Brendan Sexton III, Robin Bartlett, Michael Beach","Phim Kinh Dị, Phim Bí Ẩn",91,111.7713,2025,https://image.tmdb.org/t/p/w500/i3omY4P6QUzFQlEeclWY92RuXCH.jpg,https://image.tmdb.org/t/p/original/jOuu4mEBOuJVb6CkkmRDpjnrZed.jpg,5.676,Cuộc tìm kiếm tuyệt vọng của một người phụ nữ để tìm lại người chị thất lạc từ lâu dần biến thành nỗi ám ảnh — khi cô nhận ra rằng con quỷ tưởng tượng trong ký ức tuổi thơ của họ có thể là có thật.
Giấc mơ xe lửa,1241983,Clint Bentley,"Joel Edgerton, Felicity Jones, Kerry Condon, William H. Macy, Will Patton",Phim Chính Kịch,102,101.2287,2025,https://image.tmdb.org/t/p/w500/l3zS4YnpOi4usyEXGJMtxSqDDyb.jpg,https://image.tmdb.org/t/p/original/u5NWHVhZ6HWc1fXnqn82cMar5St.jpg,7.7,Một phu đốn gỗ có cuộc đời thanh tao và bình dị khi anh trải qua tình yêu và mất mát trong thời đại có nhiều thay đổi to lớn ở nước Mỹ đầu thế kỷ 20.
Aquaman: Đế Vương Atlantis,297802,James Wan,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Nicole Kidman","Phim Hành Động, Phim Phiêu Lưu, Phim Giả Tượng",143,78.3127,2018,https://image.tmdb.org/t/p/w500/hD9KaykN4ts4Oo7SPDTT17RRRGY.jpg,https://image.tmdb.org/t/p/original/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,6.872,"Câu chuyện của Đế Vương Atlantis tiếp nối sau những sự kiện xảy ra trong Justice League – Liên Minh Công Lý. Theo đó, Arthur Curry/Aquaman bắt đầu trị vì vương quốc dưới biển sâu Atlantics, và đứng trong tình thế khó xử là những cư dân trên cạn luôn gây ô nhiễm môi trường toàn cầu trong khi người dân Atlantics luôn sẵn sàng để chiếm lấy đất liền. Bên cạnh đó, hải vương Aquaman còn phải đối mặt với những kẻ thù lăm le đe đọa nền hòa bình và yên ổn của vương quốc mình."
Chainsaw Man - The Movie: Chương Reze,1218925,吉原達矢,"戸谷菊之介, 上田麗奈, 井澤詩織, 楠木ともり, 坂田将吾","Phim Hoạt Hình, Phim Hành Động, Phim Lãng Mạn, Phim Giả Tượng",100,108.8559,2025,https://image.tmdb.org/t/p/w500/kywH6s7qTa64i0drx3pNvpQufWR.jpg,https://image.tmdb.org/t/p/original/gqTz24ZRsCP6AKjARmEivY7m0cK.jpg,7.795,
Maraé,1134278,Jacques Kluger,"Adèle Galloy, Marie Zabukovec, Vaimiti Teiefitu, Marilyn Lima, Aurélien Recoing","Phim Kinh Dị, Phim Gây Cấn",89,91.8758,2024,https://image.tmdb.org/t/p/w500/jw5lampy4gLzwLVnm6vQH6zYuCX.jpg,https://image.tmdb.org/t/p/original/mijSBMlvAp4QoCpEShrl62444Cb.jpg,4.382,
Laberinto de sombras,1280518,Alfredo Contreras,"Allende García, Miriam Ortas, Fede Alonso, Jose Antonio Ortas Cayuela, Fernando Esteso",Phim Kinh Dị,0,110.3443,2024,https://image.tmdb.org/t/p/w500/565kBAr0hvgLbJKyAd3dUKk2xn0.jpg,,6.0,
Thợ săn quỷ Kpop,803796,Chris Appelhans,"Arden Cho, May Hong, Ji-young Yoo, Ahn Hyo Seop, 김윤진","Phim Giả Tượng, Phim Nhạc, Phim Hài, Phim Hoạt Hình",96,95.9544,2025,https://image.tmdb.org/t/p/w500/y8OyohPhdTtusY0nXd2XdX4NN8W.jpg,https://image.tmdb.org/t/p/original/w3Bi0wygeFQctn6AqFTwhGNXRwL.jpg,8.21,"Khi các siêu sao Kpop Rumi, Mira và Zoey không bận trình diễn tại các sân vận động cháy vé, họ sử dụng sức mạnh bí mật để bảo vệ người hâm mộ khỏi những mối đe dọa siêu nhiên."
Mã 3,1161617,Christopher Leone,"Rainn Wilson, Lil Rel Howery, Aimee Carrero, Yvette Nicole Brown, Rob Riggle","Phim Hành Động, Phim Hài",100,84.4288,2025,https://image.tmdb.org/t/p/w500/gIAYMDb5mIAeCAj76q1sRsKjkzo.jpg,https://image.tmdb.org/t/p/original/vZK3f5N8Fv2LcyFYLwt6dz0HE1H.jpg,6.653,"Một nhân viên cấp cứu kiệt quệ cố gắng cầm cự trong 24 giờ cuối cùng của sự nghiệp, vừa phải sinh tồn, vừa huấn luyện tân binh mới."
Sau Cuộc Săn Lùng,1265063,Luca Guadagnino,"Julia Roberts, Ayo Edebiri, Andrew Garfield, Michael Stuhlbarg, Chloë Sevigny",Phim Chính Kịch,139,84.7987,2025,https://image.tmdb.org/t/p/w500/ryF8QPGUGlo8gRB4OYKb4J0r3aJ.jpg,https://image.tmdb.org/t/p/original/sJxLi807vafkcFtHsnTe080Emt0.jpg,6.1,"Một nữ giáo sư đại học rơi vào ngã rẽ cá nhân lẫn nghề nghiệp khi một sinh viên xuất sắc tố cáo một đồng nghiệp của cô, trong lúc một bí mật đen tối từ quá khứ của chính cô cũng có nguy cơ bị phơi bày."
Ám Ảnh Kinh Hoàng: Nghi Lễ Cuối Cùng,1038392,Michael Chaves,"Vera Farmiga, Patrick Wilson, Mia Tomlinson, Ben Hardy, Rebecca Calder",Phim Kinh Dị,136,80.1947,2025,https://image.tmdb.org/t/p/w500/sjvW985erG7NSKJScFNhLbjhyma.jpg,https://image.tmdb.org/t/p/original/tcBX2dtkNozZ0uDLVaxXrE6rqyN.jpg,6.987,"Hai nhà điều tra hiện tượng siêu nhiên Ed và Lorraine Warren đối mặt với một vụ án kinh hoàng cuối cùng — nơi họ buộc phải đối đầu với những thực thể bí ẩn đầy đe dọa, thách thức tất cả những gì họ từng tin tưởng."
Cuộc phiêu lưu trong giấc mộng,1117857,Alex Woo,"Jolie Hoang-Rappaport, Elias Janssen, Simu Liu, Craig Robinson, Cristin Milioti","Phim Hoạt Hình, Phim Gia Đình, Phim Hài, Phim Phiêu Lưu, Phim Giả Tượng",91,78.7951,2025,https://image.tmdb.org/t/p/w500/ug0TqgmByPCEYzR9lQWQmyAa7sw.jpg,https://image.tmdb.org/t/p/original/pU9cz8mZjzwyPAcJDPXBlK99BoR.jpg,7.2,Stevie cùng em trai Elliot phiêu lưu vào khung cảnh vô cùng phi lý trong giấc mơ của chính họ để thỉnh cầu Người cát ban cho họ một gia đình hoàn hảo.
Six jours,1025527,Juan Carlos Medina,"Sami Bouajila, Julie Gayet, Anne Azoulay, Yannick Choirat, Manon Azem","Phim Gây Cấn, Phim Hành Động",95,72.983,2024,https://image.tmdb.org/t/p/w500/foyiQu23zq4WhmffnQkFiNAvqcJ.jpg,https://image.tmdb.org/t/p/original/tLf5hjuO4gx62lVojPiHsIzCroh.jpg,5.872,
Bộ Tứ Siêu Đẳng: Bước Đi Đầu Tiên,617126,Matt Shakman,"Pedro Pascal, Vanessa Kirby, Ebon Moss-Bachrach, Joseph Quinn, Ralph Ineson","Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu, Phim Hành Động",115,72.9272,2025,https://image.tmdb.org/t/p/w500/n0bqzWiKGJsmnvOlkTiYykhhM4E.jpg,https://image.tmdb.org/t/p/original/6eLtIyVHCzqoQdsLfOPPNVTxsn7.jpg,7.044,"Sau một chuyến bay thám hiểm vũ trụ, bốn phi hành gia bất ngờ sở hữu năng lực siêu nhiên và trở thành gia đình siêu anh hùng đầu tiên của Marvel. The Fantastic Four: First Steps là bộ phim mở đầu Kỷ nguyên anh hùng thứ sáu (Phase Six), đặt nền móng cho siêu bom tấn Avengers: Doomsday trong năm sau."
Captain Hook: The Cursed Tides,1511789,Lars Janssen,"Sean Cronin, Ewen Weatherburn, Cameron Ashplant, Richard Rowden, Destiny Viva","Phim Phiêu Lưu, Phim Hành Động, Phim Kinh Dị",90,74.0794,2025,https://image.tmdb.org/t/p/w500/bcP7FtskwsNp1ikpMQJzDPjofP5.jpg,https://image.tmdb.org/t/p/original/ygOR390GzOX5Quv0kAAcUNDG7fp.jpg,4.923,
Roofman,1242419,Derek Cianfrance,"Channing Tatum, Kirsten Dunst, Ben Mendelsohn, LaKeith Stanfield, Juno Temple","Phim Hài, Phim Chính Kịch, Phim Hình Sự",126,71.5159,2025,https://image.tmdb.org/t/p/w500/uhXxW7EmzZIWFVpbF42r6L2g7Oh.jpg,https://image.tmdb.org/t/p/original/2YOnE2qmoyyOUqQsFit12gDSauk.jpg,7.191,
Wicked,402431,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Dương Tử Quỳnh, Jonathan Bailey, Ethan Slater","Phim Chính Kịch, Phim Lãng Mạn, Phim Giả Tượng",162,78.6541,2024,https://image.tmdb.org/t/p/w500/v0wmLuNj4rsyfTF6V30StYZAXdb.jpg,https://image.tmdb.org/t/p/original/3iD9yEsxKqliZfPck1aoTVC6K53.jpg,6.9,"Wicked, câu chuyện chưa kể về các phù thủy xứ Oz, có sự tham gia của nữ viên viên Cynthia Erivo người từng đoạt giải Emmy, Grammy và Tony trong vai Elphaba, một phù thủy trẻ với làn da xanh đặc biệt, người vẫn chưa khám phá ra sức mạnh tiềm ẩn bên trong mình và “công chúa nhạc pop” Ariana Grande trong vai Glinda, một phù thủy trẻ nổi tiếng, được tô điểm bởi đặc quyền và tham vọng, người vẫn chưa khám phá ra trái tim thực sự của mình."
Trốn Chạy Tử Thần,798645,Edgar Wright,"Glen Powell, Josh Brolin, Michael Cera, Colman Domingo, Lee Pace","Phim Hành Động, Phim Gây Cấn, Phim Khoa Học Viễn Tưởng",133,69.7534,2025,https://image.tmdb.org/t/p/w500/lSUUBWX1vp4WkjTUkd2mbRUuwt8.jpg,https://image.tmdb.org/t/p/original/docDyCJrhPoFXAckB1aOiIv9Mz0.jpg,6.817,
A Very Jonas Christmas Movie,1425122,Jessica Yu,"Kevin Jonas, Joe Jonas, Nick Jonas, Chloe Bennet, Billie Lourd","Phim Hài, Phim Nhạc",78,54.23,2025,https://image.tmdb.org/t/p/w500/kGLgaDrYWmTAdRFzGP5pBquRnhO.jpg,https://image.tmdb.org/t/p/original/ajYw16ISz3qsdYTg4zy5rob1iAQ.jpg,6.795,
Nhiệm Vụ: Bất Khả Thi - Nghiệp Báo Cuối Cùng,575265,Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg, Esai Morales","Phim Hành Động, Phim Gây Cấn",170,64.1546,2025,https://image.tmdb.org/t/p/w500/wxnbCpRKs8FV1SLZYA0mj1x26f9.jpg,https://image.tmdb.org/t/p/original/xPNDRM50a58uvv1il2GVZrtWjkZ.jpg,7.265,"Sau khi thoát khỏi vụ tai nạn tàu hỏa thảm khốc, Ethan nhận ra The Entity đang được giấu trên một chiếc tàu ngầm cũ của Nga, nhưng một kẻ thù trong quá khứ của anh tên là Gabriel cũng đang truy đuổi."
